"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
112510,105092,182168,88781.9,73767.3,154731,28193.3,1.23838
79558.2,81531.8,157238,70919.4,65036.2,144907,28492.5,1.24397
113959,99677.4,189676,82627.8,66749.7,154650,26280.7,1.2444
91759.5,91573.2,163541,84956,79221,148850,36862.4,1.24887
92031.2,90001.6,177130,78027.4,69327.7,146177,15245.3,1.25107
111587,98179.4,193268,81985.6,64181,158384,31925,1.25716
110751,105942,180074,93491.4,81969.5,155919,60061.2,1.26329
89838.1,76011.3,174726,76947.7,62485.4,148412,10449.1,1.273
99032.1,99892.1,176702,71626.7,65832.9,145157,18388.9,1.28133
101255,103076,184780,82148.5,72590.6,149464,43296.3,1.29048
118705,113090,193270,91042.3,77037.8,159318,35072.6,1.29197
96903.7,94262,179106,58303.5,52135.8,141731,37689.7,1.29733
102392,103352,178956,72264.1,65317.3,147802,54194.8,1.31082
117710,106339,193461,146489,122436,167597,66249.3,1.32486
125318,111657,197024,134202,112489,162055,58223.8,1.32788
87124.1,88001,165328,58640.3,53564.2,139124,18993.2,1.34076
116750,111268,185938,76969,66944.3,153315,18252,1.35907
120393,112529,195843,75367,64018.5,148386,41050.2,1.3614
104205,101120,182010,85824.3,75903.9,151363,33892.6,1.36673
119351,97399.4,193124,146791,118554,168684,56710.1,1.37088
145402,117132,212859,128561,95856.4,171952,29517.7,1.37253
86287.4,87875.1,165258,80009.2,79162.2,144784,22554.4,1.37811
71488,67839.6,159518,72817,65137.9,146032,28763.8,1.37986
110861,100974,183509,76977.8,62856.7,153581,25667,1.38128
98864.5,93583.3,179120,100611,83744.5,158923,55406.5,1.39837
122523,95162.2,195870,80409.3,60818.5,158393,14846.9,1.40147
111503,103093,190345,94148.7,79777.2,155914,25272.2,1.40948
112986,105875,187420,89599.1,78658.9,151694,38844.7,1.42227
87280.1,86363.5,168479,78628.6,76098,145393,23455.2,1.42788
119053,111372,193072,90479.2,78404.2,162341,36003.5,1.4288
88498.1,92813.9,168941,106773,103868,151180,15387,1.42985
144234,130917,204985,113280,95336.7,160452,62122.3,1.45147
132658,129272,192989,96827.6,79437.8,157934,29340.8,1.46465
110053,102551,183064,109334,91233.1,158346,30016.6,1.46632
127224,113845,195355,128952,106375,166531,53207.2,1.47359
101376,101114,172713,75361.5,68854.3,145548,24133.7,1.48456
114080,108776,188805,148739,125901,166451,25342.5,1.50397
101608,94478.8,178933,59752.8,52089.6,142701,52410,1.50975
78251.3,81991.9,158285,67164.6,65903.5,142510,22261,1.51146
99125.1,91994.1,182327,103907,90428.8,155997,23636.4,1.51446
136912,120477,203164,110431,83554,164934,31687.1,1.5218
118108,107688,183083,115788,97319.6,159945,30202.3,1.52319
134726,116013,202336,115609,88241.3,169450,32463.7,1.5246
122657,113802,193222,90863.7,75138.3,157834,41208.8,1.53837
86076,84262.1,171806,56542.1,50883.2,141941,22499.6,1.53883
108849,105567,189490,106088,91852.2,158361,18885.6,1.54968
114731,112895,190412,85833.1,74846.5,152677,16001.5,1.55207
143736,130025,203498,102340,82857.3,162131,17237,1.55374
103816,102491,181529,103236,84843.7,157897,34501.8,1.56445
121281,112267,189617,93856.4,72434.7,159007,45876.6,1.56498
98579.1,99217.7,176247,70163.6,63323.1,145994,28322.9,1.56862
170385,142760,216377,165938,122968,176144,89078.8,1.58618
112501,102330,182387,102955,90447.6,155955,11367.5,1.59022
117773,113988,196468,85273.5,72317.9,152539,24563,1.59085
120641,113147,190307,90852.4,77018.6,155626,29986.3,1.59409
119784,103537,196734,120514,92234.5,170426,24509,1.59711
122330,111179,196930,113638,84481.1,169129,59869.4,1.60087
101655,96846.3,181670,74051.5,69295.8,145386,43008.9,1.61136
163268,134899,215316,123601,90215.4,168220,66139.9,1.61754
71325.8,73300.4,154619,69023.7,62956.2,143501,22942.3,1.62995
102680,98969.1,183808,87870.5,77414.2,151051,22945.6,1.63038
134439,123430,193709,145279,115532,166440,38954.1,1.63224
95584.4,88161.7,175483,77767,66163.8,151706,17319.6,1.64156
90201.1,88251.7,175189,76761.1,69901.7,150960,39643.3,1.64581
85825.5,87678.7,164971,71954.1,67139.9,144775,23534.7,1.64867
101589,102628,176727,73069.7,66386.1,143302,26858.1,1.65601
80525.7,77455,164857,51342.3,48160,137745,25369.9,1.65796
110281,101292,185698,82506.4,64568,158562,18715,1.66001
117482,113087,192286,97461.5,85407,152621,34346.7,1.66247
97775.3,96065.1,173291,75351.2,64610.5,151438,33510.5,1.66301
127049,125368,188979,126833,112173,162974,37643.2,1.66872
115837,108994,192493,106184,87211.7,161263,28036.1,1.66934
109171,102132,199723,85058,71433.8,174826,36552,1.69169
120042,117488,186254,102706,86903.1,155928,18129.6,1.71117
140934,118608,204001,132161,106613,167535,28778.8,1.71558
102579,104996,179610,74912,67856.1,146066,34658.2,1.72783
93458.2,93071.5,172116,77387.3,71091.2,147653,26389.1,1.72867
115657,106731,190376,97396,81296.7,159115,32920.2,1.74366
101802,99981.8,182144,96479.9,85008.7,152219,27983.3,1.75085
99303.6,97974.1,179386,58476.7,51544.3,142289,16149.1,1.75191
98312.6,93729.4,175433,70310.5,63825.9,142179,45817.1,1.76273
84086.7,83179.4,163765,64361.1,59147.8,146725,34816.8,1.76987
102600,96858.1,182044,85891,73069.9,153898,34431.1,1.78521
142697,117894,199192,138986,101102,172339,85558.5,1.7879
116187,110496,188887,93357.2,81595.1,155438,22928.1,1.79733
131237,121946,205832,92879.3,75434.4,164899,51698,1.80384
111285,113362,189702,86605.8,78349.3,151857,22415.9,1.82669
118753,112042,186404,92404,75681.3,155568,45854.6,1.8327
105644,101754,180082,93693.8,77509.9,157781,28245.4,1.85229
127717,121342,198366,103674,88610.4,162000,16095.4,1.85266
103895,98878.8,175876,96265.8,80302.2,155415,58019.3,1.86645
112938,109990,189087,112018,92750,158713,33535.9,1.87762
122388,115895,196309,85463,69557.1,154659,28292.1,1.88398
134957,126991,200574,105644,85416.3,159497,52595.3,1.89336
152093,131001,216658,114193,91101.4,162786,18636.8,1.89382
150690,135915,207874,103505,83431.9,159890,25239.1,1.89504
124449,120131,192889,92184.9,77370.5,155834,28169.7,1.89894
134861,124463,205824,105491,86365.8,160342,26382.1,1.90172
113258,105682,191522,72092.7,62215.7,156401,55662.6,1.90479
118599,109791,196336,90754.2,71708.8,158891,25121.1,1.91151
118060,110164,193263,77179.2,67128.8,150568,31375.9,1.91398
137165,116609,199713,121248,97861,167953,33573.5,1.92541
104657,92705.8,186159,68091.3,62205.1,148621,36446.1,1.93035
145452,131672,210803,87361.1,69401.3,157813,55535,1.93514
106657,103796,186210,137252,124725,159056,27005.3,1.93999
130187,121280,191999,80378.1,65851.5,155456,18171.9,1.94066
91304.5,90095,170334,71358.7,62586.9,149182,35719,1.94229
88492.3,90331.8,165269,77593.9,69829.9,149075,12813.2,1.95555
90893.1,90087.6,162150,81422.7,68705.7,154717,12839.8,1.98081
124277,121487,188445,96207.9,82841.3,156079,16783.9,1.98772
85608.4,83989.3,169194,63383.7,58394.4,145201,20214.9,1.99072
111748,103978,189082,100323,79797.8,159454,19089.9,1.993
108715,104896,186680,72377.6,63233.1,148875,33893.6,2.00806
104986,100314,176417,92757.6,83517.4,152148,37916.9,2.01656
123270,116389,197739,79658.7,65369.1,151114,20091.4,2.01809
125802,117698,199919,132092,113622,163116,16344.4,2.03251
125968,123414,192880,61825.8,55389.6,143923,15261.2,2.0343
82531.5,81623,169087,84694.8,78680.6,147979,20384.6,2.03976
90061.7,91146.4,168137,87311.1,76278.4,148473,23133.2,2.0405
123457,118077,195836,91700,79343,155635,50728.1,2.04127
108622,101732,183564,92860,72672,158573,25850.3,2.05161
103484,100695,178840,97349.9,82579.2,154667,36635.8,2.05659
128820,123378,190372,108568,90747.5,158934,41022.9,2.06896
105637,99595.7,176553,91935.7,81530.3,154577,23025.3,2.08444
167528,140646,215858,146261,112557,169921,61725.7,2.09977
85640.5,83980.8,162736,64132.4,58371.1,145214,13650.2,2.10262
124387,106550,191322,101178,78055.8,163088,61945.7,2.10533
90680.9,91245.1,175383,53541.9,48445.7,145779,7918.53,2.11193
97035.1,87052.8,179316,90054.1,78280.4,152192,15224,2.11768
98276.7,96411.3,176106,90802.9,78737.3,152940,23243,2.12193
117137,111589,181983,116959,100006,159300,55574.7,2.14108
110319,109177,175614,87383.6,75374.9,149382,33224.9,2.16841
128253,118633,199900,91254.5,72710.5,155822,55128.7,2.17264
110319,99957.4,183131,74074.3,60551,151459,46732.4,2.17596
114235,107256,187223,106509,91026.1,159842,38985.3,2.17624
132212,119178,201624,115839,95153.5,164227,42733.4,2.17794
83103,82328.4,162685,63021.6,56076.5,141984,19334.6,2.18454
142633,124712,198910,134337,104261,171568,49972.3,2.18749
131866,123029,198419,133802,111276,166030,29846.1,2.20748
103308,97227,181972,58012.8,50000.4,138065,21324.2,2.20772
84322.7,82366.8,165729,69488.7,62508.7,145734,18300.1,2.21745
138778,132297,203940,121440,94224.2,163082,27111.1,2.22565
130058,119041,187129,81269.5,66562.6,158243,31821.9,2.22589
108273,104637,189047,82809.9,74225.8,151596,23380.7,2.23352
119252,109520,192090,123092,102863,162689,38834.6,2.23694
148923,135741,206209,99002.8,81745.9,159506,13929,2.2486
129523,126112,199202,85966.4,70459.7,153071,27093.6,2.26324
114528,109620,191844,100003,86514,156145,27087.9,2.26532
114613,110562,190541,85688.2,74681.2,153077,18466.9,2.27731
136820,117649,202858,140160,107645,168506,25400.9,2.28347
143243,111158,210730,111911,79096.1,169456,33933.4,2.28557
146310,135193,207914,119413,92296.2,167381,40088.1,2.28841
89762,88884.8,168640,101793,91604.3,156061,21317.1,2.29537
122518,117485,187128,100981,89256.7,157641,24798.7,2.29708
110262,106585,178722,83039.2,70123.1,153660,28968.8,2.29778
92011.4,90094.3,171523,68041.2,56471.8,149156,16101.7,2.31975
72345.1,73294.3,156320,104367,102800,148328,19711.3,2.32093
93161,82049,175300,78565.4,65761.9,152893,29917.1,2.32948
143326,124227,204390,130918,103528,165610,141920,2.33754
71962.1,73035.5,155304,67610.2,66613.1,141847,13571.8,2.34781
87065.8,88057,171964,74461.8,71330,145592,12453.9,2.35264
117288,110193,183313,99386.2,81198.7,158558,84119.1,2.36233
96489.5,94444.4,172810,79960,73694.3,145216,36539,2.36702
125563,117965,189375,90687,73909.5,158181,16530.2,2.36754
97180.2,98329.6,171328,90305.9,74845.3,155001,38347.8,2.37247
98221.8,92589.8,175804,76625,65961.4,150567,21119.7,2.38214
118563,117593,193429,98880.5,88152.8,152177,32626.1,2.38312
