"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
81396.3,84516.3,168304,51515.5,47835.2,134284,61.1761,0.527844
95457.3,92651.9,173368,65190.3,56596.3,141745,1422.3,0.527955
98336.2,93337.5,178946,71448.3,61754.1,148238,1897.95,0.529048
76904.1,71930.6,165819,70095.1,64492.7,144505,1594.45,0.529663
99484.5,97703.4,179761,78833.6,71112,142282,496.304,0.531089
148735,122529,203126,167279,130606,168150,7442.12,0.53871
132399,112946,196024,117686,101176,158022,861.614,0.541347
90814.5,89988.5,176399,59915.5,54436.7,146064,4774.73,0.542355
145718,131209,208035,110662,88044.6,162873,745.446,0.543439
89013.8,92303.1,168292,76119.3,72527.2,145411,1613.16,0.547539
111724,103969,191851,94253.4,80557.2,152984,2344.96,0.548323
106593,100353,182420,87976.8,78996.9,145067,1858.1,0.554059
104504,102107,181444,66919.6,60733.7,144836,1437.03,0.554994
113945,111159,193201,87322.8,72997,151211,4098.41,0.5633
94698.9,89745.2,172093,71650.2,61356.9,144605,1708.77,0.564037
104448,100613,186539,73828.8,63663.3,145555,1378.16,0.566835
99257.8,91333.4,185855,63366.7,52425.7,140401,475.429,0.56806
115368,107657,186160,70386.3,55916,149555,3185.29,0.584189
127560,118161,199316,93655.8,77931,148906,2100.42,0.586885
127237,108769,198801,122283,90030.8,166010,4598.33,0.598738
76604.9,77660.2,165740,62864,60111.6,137838,820.316,0.60309
103234,95051.8,177204,65134.8,54620.1,143931,907.43,0.603763
117998,110204,188573,97775.7,79962.6,155425,4512.98,0.604174
104192,103242,182592,76958.7,66538.7,146428,4411.13,0.606491
120681,109873,193501,93407.8,83540.3,149574,1769.32,0.607713
106993,101313,186425,100389,87992.5,152678,929.345,0.609269
91266.3,88696.2,181870,73066.7,64252.3,146258,1176.18,0.617562
87886.3,90200.5,165702,58371,55050.9,137566,1241.11,0.617931
98890.5,87764.8,182883,120490,100371,159721,7873.72,0.625342
79197.7,80758.3,161795,53312.9,48253.7,135145,146.117,0.625801
100542,83649.1,182985,79147.8,58662.2,152659,2514.17,0.631039
91662.3,81891.2,175000,100312,96159,151438,139.935,0.632072
82088.3,85594,160095,51444.9,49863,135163,809.11,0.632626
94352.3,81752,173424,75483,64068.3,144682,2597.63,0.641988
129743,119727,199787,86949.4,75840.3,148568,1811.97,0.644289
99748.2,95967.6,181650,71118.6,68402.9,145756,2487.83,0.644894
94006.6,92412.8,176942,61731.6,56719.9,135814,293.377,0.647125
108951,91038.9,190472,117247,92690.9,160503,256.002,0.648755
86511.1,92404.9,169559,67378.3,62161.3,137973,1407.53,0.649891
113668,101551,194953,117514,95232.2,158174,8863.61,0.655196
95716.2,95119.9,176976,77225.1,66019.8,148102,3885.33,0.655313
81309.9,77938.6,169953,57910.6,51913.5,139526,3182.9,0.657942
83032.3,82044.2,166031,50622.2,47629.4,132410,195.664,0.659629
105608,108637,178384,85795.4,76021.6,148127,9217.45,0.66348
144463,131519,204068,102596,78230.1,159253,2885.22,0.66495
127741,118043,193414,103202,84641.9,156011,2085.87,0.672163
95096.7,84707.6,180119,125699,114778,154742,2538.75,0.681394
99206.5,98947,174629,65381.9,58036.3,141928,180.718,0.691999
138701,124470,207116,122120,105307,159341,2985.17,0.695505
103436,87768.9,184504,85080.4,71410.1,150825,7786.2,0.698205
97936.8,93189.2,179410,70602.2,60913.6,148111,19.0979,0.702318
83361,81598.8,165106,64792.5,60125.4,144181,1357.73,0.703512
123626,111240,203224,97670.9,75945.9,155319,2537.44,0.708335
96985,92509.6,171768,99016.4,85706.8,151648,12131.6,0.709627
119686,116085,193835,84537.7,74528.9,148056,2719.81,0.712746
138909,116652,199915,104413,82580.8,158450,193.69,0.712862
94966.6,96285.5,172866,66026.3,59032.6,138990,1796.11,0.714358
82182,84567.2,165353,62323.6,57475.4,142100,4569.96,0.714698
94559.9,94595.8,180223,63808.5,55394.7,141719,109.876,0.715136
84414.7,88720.8,172320,64048.1,62311.1,135553,207.811,0.715464
93920,86094.7,172823,78565.8,68520.2,145005,2596.95,0.716714
97675.7,90407.3,174686,70647.3,59526,144988,2378.4,0.723008
93238.2,88948.1,176229,63231.9,56295.3,141471,1070.5,0.732026
99122.2,97195.8,183442,83845.5,73204.6,147563,2818.53,0.732718
102555,96478.1,182196,77403,64245.1,146584,389.714,0.733131
122025,118012,189654,107262,90491.8,158737,2440.48,0.736781
89060.3,92903.9,173581,77410.8,75957.8,141206,5258.69,0.743702
100159,96776.5,178356,79455.5,71670.4,149446,1837.95,0.747299
110360,102168,182104,86203.1,70536.7,150838,3202.78,0.757425
110702,104044,182802,86981.1,75075.5,145477,4311.95,0.760877
116352,109432,193593,78461.7,65056.5,151976,2799.06,0.762983
116768,108852,192822,107461,91040.8,152124,285.166,0.768184
132113,121706,201169,84578.4,69328,152304,807.393,0.768205
122666,111373,200089,109880,92025.4,160703,1042.03,0.77936
90116.5,85221.2,168186,66927.4,58034.8,145278,228.267,0.786235
109798,106762,186156,80050.7,70459.5,148843,1735.02,0.795311
117449,110812,195969,99260.7,84317.6,152995,469.913,0.807644
111937,109791,184449,94951.4,81817.1,153225,236.684,0.820898
126918,108758,201248,162978,123306,170258,536.876,0.821827
70316.3,71995.6,155402,75758.1,68525.3,145755,2261.78,0.822079
119312,113518,189172,86782.5,70575.7,148667,9537.08,0.823965
86518.4,90704.9,173511,78708.9,72749.3,143774,807.212,0.825886
104571,101044,185777,75098.5,62505.5,148416,1309.12,0.826884
120224,107966,191436,81628.6,65390.9,151536,645.544,0.828
116381,104627,190531,75948.1,63384,151669,2397.55,0.829391
125429,116107,189226,100918,84684.9,153517,10210.1,0.833687
105958,101070,179822,90780,73590.4,154923,1843.1,0.835274
113349,109839,183070,87249.7,76004.5,150857,2798.15,0.835775
134009,123872,197470,105002,85257.5,155251,4275.54,0.839233
98037.4,96058.3,182991,94142.7,86970.9,152992,1640.36,0.839997
90436.8,85184.1,168079,80501.8,69938.2,148396,3934.4,0.840466
119095,112232,189256,87003.1,72329,152589,8023.37,0.84467
73560.8,72960.2,161959,61100.5,56935.6,135955,1131.77,0.84559
72023,71100.8,155880,91668.3,84508.9,149006,2711.9,0.849501
96567.1,93042.7,183557,73999.9,64079.3,143191,1781.2,0.852547
106567,95064.6,186387,73001.8,58779.7,148213,1661.69,0.857035
100784,98717.9,183164,72374,63604.3,146103,607.454,0.860522
131969,123949,195132,113459,90545.4,158583,5337.18,0.861166
107788,104280,183622,89663.1,80844.8,146821,3348.86,0.867568
121275,116964,192044,81666.6,71843,151360,2740.86,0.867669
130281,110902,196193,118732,105352,162344,781.819,0.87622
80503.9,81619.1,162653,76144.4,72641.1,138379,2421.64,0.878145
69742.6,69809.2,158325,56510.3,50458,138896,268.92,0.879091
93613.2,93539,175057,80476.5,74430.4,145644,209.596,0.886272
119959,105549,197093,99916.9,80624.4,160400,580.343,0.889202
91033.7,89646.1,176267,63708.3,59133.9,137539,1618.72,0.898205
100993,98488.8,176829,72300.2,59474,146210,2604.13,0.902543
121372,110144,194417,101705,78295.5,159522,4547.5,0.905183
105078,99947.8,181182,75733.2,60972.5,152231,5218.62,0.909632
106870,108105,178417,115114,109577,155428,4009.58,0.910942
90530.9,90656.6,179048,59329.4,53916.4,140557,5693.46,0.912767
108651,102019,175769,94027.8,80452.1,150822,2104.22,0.915514
93422.2,89085.7,168849,59462.2,52302.4,140497,4508.96,0.921109
107291,99374.4,184244,95890.1,81975.3,153161,3282.26,0.924871
112151,107868,189102,94333.9,84406,148717,2345.91,0.924998
99472,98290.5,186972,74500.8,67254,147917,2225.36,0.926062
114849,109841,193070,86253.1,75565.7,144698,3419.75,0.926082
149126,123884,206881,115913,81069.3,167813,1785.99,0.929239
159975,136307,210079,123976,93970.8,161786,920.172,0.938508
88529.3,86982.4,165659,69921.3,61000.5,147854,1769.45,0.941331
105801,104936,183821,64920,60724.7,141280,1249.38,0.942376
91875.3,89691.6,171716,66536.7,57203.4,144939,2733.09,0.943202
66054,68314.7,152562,55382.7,53689.3,133708,1934.19,0.944978
108718,97084.8,186330,76268.8,60558.2,148471,1931.21,0.947127
115705,107211,186906,78010.7,66124.5,144957,1326.96,0.95713
103558,103898,181599,78096,70345.6,146057,810.556,0.961766
111709,102117,178546,97142.5,78713.2,153002,2520.45,0.970154
134449,123144,199116,92040.2,78268.1,150798,2088.18,0.977373
119455,108542,190558,103110,85154.6,154849,2734.13,0.983027
118184,107971,189499,98469.4,78752.8,156846,4973.09,0.983529
95777.2,95904.4,172041,61172,54288.2,139188,4806.31,0.996408
117006,107768,190184,86213.7,72883.1,150695,2393.35,0.999074
115207,107094,185901,80270.7,67346,148219,1367.76,0.999718
105022,100497,186647,71334.9,61717.4,145059,5988.69,1.00571
128916,115873,200565,112936,87948.4,166481,3616.84,1.00582
152532,131593,205690,157528,116943,170325,11639.9,1.00938
123694,108648,196974,91761.5,72034,157952,2403.29,1.01448
100932,100278,179914,84989.2,77171.2,144601,1922.4,1.01453
93138.6,89096.6,174330,94288.2,85730.5,153135,1774.87,1.01663
91764.1,88800.7,168732,65850,59307.8,141248,1295.88,1.01858
81824,80659.6,162371,71257.5,68497.9,141585,1286.57,1.01863
126269,116242,196216,95939.2,79217.8,150612,2131.96,1.02064
85948.6,82746.9,167621,69324.7,65884.9,141095,1768.37,1.02422
97823.6,90246.4,182107,70319.5,59335.2,145502,1134.25,1.02561
101883,100772,175415,69211.1,62996.7,141095,1912.46,1.02703
107175,104436,185594,75574,68200.9,144427,2251.97,1.0287
99308.3,100553,181993,75180.4,71694.5,141156,5937.22,1.03108
131164,120111,199711,76343.4,63308.9,148223,2223.64,1.0331
95744.1,92997.7,168755,64767,55016.8,143834,3055.7,1.03844
95979.6,95615.9,176772,78592.8,71425.8,144801,379.819,1.03945
131864,122951,195618,118555,97724.1,158960,1123.95,1.04396
98900.8,95870.6,185752,56881.5,54270.5,134276,1441.1,1.05153
104136,102042,180266,81027.5,72934,143475,834.142,1.05943
78754.9,79971.6,160614,59691.1,53609.8,134398,397.794,1.0628
92038.4,91100.4,170238,62910.2,55763.7,141265,1534.63,1.0631
88017.8,86057.5,160501,74327.5,65027.5,143888,1767.82,1.06761
97368.5,81867.5,173317,120529,100573,158656,3249.81,1.07078
88580.5,86898.4,169827,64235,56125.2,141701,230.134,1.07221
76773.8,75667.4,158991,77023.4,71120.2,146114,467.73,1.07626
114170,100676,189485,85609.7,70124.4,152991,2149.4,1.0857
105044,97757.5,179710,87166.8,73995.4,150578,563.309,1.08612
111457,103333,192481,79176.9,64561.5,151470,998.115,1.08914
120351,105500,184714,125784,100720,158796,1920.55,1.08987
79258.4,81611.1,159964,54267.3,48952.6,129140,69.7398,1.09152
99343.6,93940.6,175825,77683.8,62950.3,150435,2368.45,1.09448
68706.8,71663.3,151008,58756.6,56890,137745,699.81,1.09665
81233.9,83702.7,165312,64036.6,60336.6,134604,2097.17,1.10311
90965.5,92364.2,165851,55911.5,51244.7,136293,1717.67,1.10426
140905,124877,199562,117773,87213.6,165095,2340.71,1.10664
95338.3,95742.8,175841,66657.9,61476.6,138027,3971.58,1.10825
97904.1,92682,176963,106387,94464.9,151943,867.262,1.11635
100781,94346.1,183547,67378.4,57465.8,150766,1887.25,1.12255
95385.5,91339.6,172169,59500.3,53284,141998,1183.96,1.12384
110429,103955,184382,70136.3,60578.9,142352,1282.82,1.12423
83619.6,82015.9,162053,62757.3,57595.8,141220,5717.94,1.12662
107621,104756,183338,106051,102066,149699,12741.3,1.12999
105322,91198.6,189414,92713.4,81984.8,148096,2833.35,1.13053
108274,103949,185727,87841.8,79598.5,148934,304.253,1.13786
112449,108454,181985,86041.4,72477.7,151079,2760.97,1.13944
93516.6,88534.9,172480,63332.9,57369.1,137311,1341.65,1.14285
103651,103909,179879,63430,57402.4,140427,4441.27,1.14763
150130,134004,204779,117020,88947.4,165021,2695.59,1.14788
153989,137064,210913,144754,115753,164571,1416.29,1.14837
137590,123129,200156,111311,87113.8,162185,1311.33,1.15756
79817.9,79135.2,156235,57481.3,52978.3,136157,253.513,1.15965
98661.4,93424.7,181818,69879.1,60603.6,154185,2544.04,1.16132
87925.9,87629,168695,69681.5,61594.1,145550,2834.62,1.16707
76153.8,69705.6,162103,84185.1,78992,144987,246.717,1.17142
100517,96668.1,175930,72783.6,63549.2,145236,2531.16,1.17536
109741,108228,185476,85113.7,76784.4,150970,1044.83,1.18288
113198,114342,187539,105554,96991.7,150837,4722.41,1.18304
135911,117864,203813,122163,86344.7,167555,1136.65,1.1885
117646,106881,195554,92998.8,72585.3,152619,1437.39,1.18865
134798,117084,199164,97152.2,74829.3,158175,1520.4,1.19443
111728,109121,183330,79460.8,68938.7,148351,7091.27,1.19672
88042.6,84728.4,166271,62118,59456.5,136227,139.284,1.19944
104359,100040,183209,57988,48578,137757,5479.19,1.20212
123347,112484,195718,76453,64893.1,147476,2691.11,1.2118
106901,100521,176377,91711.8,78873.1,151572,5985.89,1.21482
111596,104496,190583,99540.3,87122.5,151625,2481.78,1.21516
114154,112486,187154,72046.8,63458,144386,2549.15,1.21749
96754,90639.5,172945,74501.4,63214.4,147353,2759.97,1.22439
110173,99230.2,189925,97825.5,89037.3,155962,398.885,1.22629
113270,102892,181967,83632.8,73626.4,146628,6395.75,1.22796
97690.4,96425.1,176134,82335.7,72399,145778,5345.58,1.24382
96214,95621.3,175595,67618.2,60287.5,141878,755.883,1.24835
96713.2,91744.5,170472,83574.8,76303.8,145233,7249.82,1.24893
138420,121267,203002,117713,103066,152633,5729.24,1.24982
68868.8,71608.2,156165,54766.6,52780.3,132060,163.083,1.25078
76776.2,78636.4,163312,71407.3,68456.6,140816,410.165,1.25232
113037,109249,182792,109572,89800.9,158678,1949.64,1.2613
110270,107647,183605,91859.8,77674.3,150437,1048.68,1.26261
108171,106565,186806,82288.2,72733.8,145285,1463.51,1.2654
89449.9,87401.3,172156,67288.5,60442.3,144150,1173.25,1.2701
112654,106004,189429,90010.1,76980.9,151045,8254.57,1.27437
137097,119822,200968,97636.2,72901.3,159357,460.659,1.27805
