"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
87272.1,86967.8,165011,75214.6,70224.2,151674,1055.3,0.756619
105887,113846,189896,71136.7,67235.8,144530,1963.99,0.758562
125677,128769,201039,112630,91095.3,161991,1509,0.759222
153991,133779,213658,84712,60349.3,159553,2460.5,0.765157
113408,107466,183244,97294.7,76659.6,162747,4892.68,0.767856
87273.2,93193.7,167589,79039.3,74840.4,148478,9885.66,0.773301
145697,125688,213971,116241,83857.7,172539,28831.9,0.781568
106648,103812,196135,90368.3,78668.2,159681,793.925,0.793007
133399,120931,203399,124502,98978,168545,18472.7,0.793366
81210.2,91386,165376,69548.8,71001.2,145192,3853.7,0.795303
146687,131292,218018,134535,99023,171456,7972.37,0.795618
126873,121947,199965,110311,94669.7,163340,10165.6,0.799574
134087,114408,200998,142665,106754,180381,45815.7,0.804743
113127,112203,200548,100640,89458.1,156748,3378.56,0.817033
110210,109108,186063,124330,108647,163554,8721.31,0.822754
114348,110544,183890,93804.6,78146.2,156617,2220.49,0.826882
176956,145030,233938,156652,122102,178475,24785.2,0.827069
99125.6,103946,185276,99768.5,92653.4,154973,330.166,0.85171
152434,143202,209950,177988,137737,175519,8792.66,0.854096
118650,117300,193892,85132.5,74171.8,155364,1722.06,0.876599
129044,128457,194867,117365,97875.2,166089,6009.05,0.884425
75613.9,70788.7,164505,136067,122481,162599,51453.6,0.917432
99346.4,95910.6,183976,77451.7,63675.1,151364,2366.36,0.922869
154902,136558,203338,177984,140890,178750,44587.3,0.924732
100057,108788,187044,103565,94731.1,154803,5054.8,0.929572
81724.5,92482,176637,70193.7,68223.3,144781,847.034,0.930459
101858,107159,180384,82584.7,76338.7,151130,3581.08,0.931434
112671,116580,197166,111022,97031,159406,13811.3,0.933394
179051,150730,224844,152042,120519,176515,27663,0.938676
137980,120163,201194,138917,106151,174914,36141.7,0.940731
98731.4,97366.4,186595,80650.5,71058.5,145772,10483.5,0.94102
118348,111648,206210,94968.4,74863.2,160374,12204.5,0.941046
155775,131920,223932,177700,136812,181955,16032.2,0.941098
124473,107970,193517,80265.7,63951.4,163076,11389.7,0.945642
98125.5,96234.6,174724,69010.6,62892.8,153483,7175.11,0.950398
81870.8,88169.7,170288,113738,115330,151894,21600.3,0.958944
174929,145004,229232,136671,98018,179441,3854.54,0.967128
145622,119471,216775,134353,97111.3,172813,12984.2,0.986307
76933.3,80892.3,165594,68715.5,62597.6,145471,4796.04,0.988442
128013,129271,194226,112383,91604.6,165156,4450.31,0.994516
105427,106922,191913,82133.7,73584.8,149024,3625.48,0.99513
123379,115605,199330,104643,88628.3,159924,9195.7,0.996307
153203,148258,204423,113939,92496.3,165713,19441.5,1.0065
105752,106154,191630,127739,117447,161920,2058.42,1.01023
130860,111713,212617,114980,80661.3,172561,4146.66,1.01376
129373,124657,195865,108702,87210.1,168246,6746.86,1.01524
146350,132463,212657,106126,90703.8,161266,24282.1,1.01689
150138,130166,216561,126173,105297,162681,32737.2,1.02254
155741,137093,215661,104500,80724.5,162422,25536.3,1.03259
96321.7,99291.1,177172,79014.9,70932.5,152304,1593.93,1.03427
139496,127023,212404,94918.1,73938.2,159925,6133.51,1.03726
156886,138838,216321,168458,133107,174293,18801.4,1.04075
162088,129532,222734,181234,116425,186988,26982.1,1.04394
110031,110023,193695,88424.7,75986.7,158139,4905.51,1.04743
181062,139607,219510,164859,121334,189628,16664.8,1.04822
86836.2,81629.7,179917,81800.4,71517.1,151640,9240.9,1.04911
140614,112568,207002,158398,123703,175761,42044.4,1.05039
107217,115809,186828,96178.6,88885.9,155246,531.88,1.06041
136061,131591,198895,111641,90311.6,165466,23017.5,1.06062
152910,126151,210213,140265,101488,176324,32613.8,1.06407
117980,119351,197661,76350.3,68845.9,150643,7441.86,1.06412
127108,125688,203557,122151,99040.7,165968,7661.25,1.06561
140461,125735,213060,116247,78486.1,169822,25201.8,1.07284
85111.7,88250.7,172250,89889.4,75258.6,158251,13897.1,1.0866
132742,131828,200838,128205,109836,164868,16031.5,1.09571
128629,115481,216074,117561,89460.6,168039,15406.3,1.09958
127873,124415,203150,86205.2,73422,151361,19808.9,1.10074
109269,113352,197108,96641.3,87958.3,156364,27815.8,1.10173
