"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
99768.7,99049.1,178916,117893,104294,165747,27860,21.923
71746,71054.2,165884,75298.8,74404.5,145951,57104.8,22.1029
162061,125732,219628,148907,116956,177070,126684,22.3238
137848,127020,207126,101454,86732.9,161828,151247,22.6074
129228,103690,207991,169185,132248,184493,355405,22.8185
158327,134958,220367,157394,116538,173434,106439,23.1001
116751,110750,186396,99046.8,85163.7,162195,132211,23.1032
71746.4,80361.4,166083,69017.9,71070.8,141731,33499.1,23.1898
109548,96170.1,191274,127122,108385,168298,58586.9,23.2573
93724.1,85887.9,185612,143709,137102,164863,85946.1,23.2591
94231.1,91875.9,183887,109928,99531.2,158517,61158.8,23.265
89296.6,93990.7,185996,95285.2,92559.2,152094,4317.52,23.2949
141447,120490,211017,161356,120882,179134,315606,23.4251
76262.5,74717.7,165259,110570,96234.3,163106,91689.7,23.506
119125,103749,208706,133638,103356,170258,21884.7,23.5438
145758,139295,220604,163102,134995,173592,95958.1,23.7235
106508,106207,193758,99800.2,93824.7,155759,21421.3,23.7502
93237.6,99231.8,184146,92116.2,88377.8,152457,84196,23.8777
163876,144288,213257,157199,129254,175985,279713,23.8799
140468,131624,207269,133760,107861,175669,11004.6,24.0769
112653,101182,197747,106533,93624,164571,89966,24.1322
165822,143366,225729,119953,88441.9,168408,101073,24.4384
126945,126118,204179,147726,127230,167703,1097.58,24.4471
131990,128021,207369,144752,117049,167661,27388.2,24.5104
164293,144112,226829,148642,111588,177063,167622,24.5139
130165,128140,199204,139918,121780,164363,261363,24.596
165231,141543,226173,178514,136670,182298,66351.2,24.6394
71517.4,79025,158727,68364.8,70303.5,144432,113903,24.6817
100276,106703,180039,106080,96316.3,155423,12049.9,24.7369
86675,91449.2,179235,90562,87950.9,151505,4587.85,24.7529
106241,106438,183083,110044,95987.5,159422,11785.2,25.2196
65917.6,71949.8,160585,61626,61608.4,141802,50438.9,25.2457
135239,125172,199986,135031,106836,169971,45513.5,25.2493
145664,127501,208053,144724,116186,172954,19331.2,25.5461
123120,107624,198825,119288,98744.4,165557,81579.9,25.5684
68115.5,68202.4,160637,104733,93329.9,160006,38720.9,25.6029
80472.5,87609.1,171262,69916.3,67509.9,142145,4153.19,25.6286
120363,103745,203484,94998.2,82013.5,157680,60652,25.8004
182803,135563,227926,169318,105372,190098,49108.5,25.8983
104027,96824.6,191212,141600,126499,165169,43289.9,25.925
120900,105764,201131,125417,108489,170006,122393,25.987
180549,146896,224357,157920,120295,175960,56146.1,26.0882
128644,124449,206038,110526,95115.1,160061,22156.4,26.1661
144957,132802,210989,142830,111405,167809,158358,26.1751
90057.4,87447.1,172832,141266,124507,167866,4213.88,26.2363
172376,134546,216096,180686,123294,187121,29878.7,26.3647
106038,104944,185503,119491,104397,165018,7310.07,26.3843
81943.1,84539.4,168607,69215.5,68804.7,143466,29436.3,26.4297
181429,139680,225674,138576,94157,177698,123349,26.4615
159518,119832,220332,129715,93792.9,176902,200710,26.4652
147126,134935,208087,169972,143531,174843,56740.4,26.6166
165747,129744,216422,177833,131705,183357,152797,26.6736
127309,110429,213985,165873,130951,175865,22443.4,26.8442
67960.8,71054.6,161604,56118,54777.8,135713,88064.9,26.9337
73022,82140.9,162491,50444.7,51937.4,135264,33848.6,27.0447
167779,137655,221188,153511,128175,170063,249999,27.0943
148014,134062,211781,167952,128823,179015,18673.5,27.1518
86312.5,92490.1,171914,100153,95455.9,152896,3392.34,27.1869
122569,115591,200981,178832,140316,182934,28436,27.2224
149696,127982,213787,144306,106902,174630,23068.9,27.3721
151713,139118,218899,124421,93480.8,167587,28690.8,27.4641
122380,122315,196837,106286,92926.2,160342,96464,27.4694
164867,135399,212989,168429,118648,189208,91890.4,27.4943
104547,104726,182283,80079.8,72874.2,152770,654.009,27.5106
116231,105341,204610,110363,89101.3,162881,13957.2,27.5634
86174,87642.3,166680,72649.4,69816.9,144837,149331,27.6699
163510,141547,220338,146472,105304,176034,224297,27.8733
124715,123052,192660,142171,130455,163573,122154,27.9348
137027,132971,205965,117527,101948,160022,134307,27.9905
163074,153773,216020,150185,128439,172547,366309,28.2559
137594,123807,217044,117797,99026.1,161722,71032,28.3168
81733.7,84790.5,165889,84293.8,83428.4,147532,143195,28.384
94940.4,99628.9,178858,105625,100604,152383,14674.5,28.4211
102860,102557,176911,77505.1,69785.8,153580,39793.3,28.5523
134480,131901,209621,129074,108699,168653,8770,28.7059
87050.2,92542.2,167958,105274,104021,152272,9996.46,28.7313
92830.8,87760.3,182755,129756,111023,172023,1846.77,28.7572
98687.7,105791,178735,105075,106865,152098,15101.1,28.9872
137259,119678,213470,102048,79323.5,165949,223007,29.1797
141355,124973,201597,147830,111412,172622,18732.6,29.1958
135993,135095,206838,101643,95382,156809,353093,29.224
169166,153249,223532,162904,134543,177070,167351,29.3023
123474,111770,195333,154867,126319,175109,20395.4,29.3043
131802,120572,201036,170249,134986,176052,132330,29.3217
182108,133797,229131,200244,140718,186514,86596,29.3629
161695,124774,224670,176421,134045,181296,36741.3,29.3833
149779,140139,205148,129616,104616,170259,88960.1,29.4661
185647,152393,226572,160340,120923,176855,56073.9,29.469
128289,131662,204539,122076,116222,157812,115407,29.4786
113415,97022,191694,147438,119766,171866,31959.5,29.5721
111469,102583,185118,116271,98173.6,167654,27544.4,29.704
151354,136276,217683,109391,87378.7,162349,160889,29.7681
154355,134508,214122,157529,124298,171830,162737,29.7728
154835,128748,221422,193189,134083,182623,87387.1,29.822
111022,101884,185726,136050,120903,168172,15162.4,29.9481
184536,135461,231016,177110,131841,184251,311379,30.3358
165528,148419,218407,150640,111042,173283,26235.8,30.3959
184138,145343,229544,137574,99891.6,180066,276391,30.585
163257,141321,223919,153158,117123,175032,3741.07,30.6041
145011,119922,209850,163431,118511,179112,88172.4,30.7981
111231,123994,186593,88829.7,87661.8,149275,20529.3,31.0175
179437,133910,232072,191314,143827,183919,75049.4,31.2239
185811,151420,224495,149205,109450,174976,531971,31.789
104560,106584,173212,128887,106303,165647,10803.1,31.7894
106816,96179.9,186567,93586.4,76290.8,158864,64501.5,31.8139
135853,129294,212905,145931,124905,168614,35543.2,31.9103
113029,115673,198953,109059,103094,156253,39926.6,31.9825
130065,129563,199023,126406,101542,168576,11464.7,31.9935
81209.7,79442.5,170016,147605,120084,167739,15787.7,32.045
127008,127195,187141,118174,105774,159029,75169.6,32.3211
135054,110898,216577,163775,125722,178947,97449.9,32.6234
145094,138964,214163,129707,106137,164798,61303,32.8983
120287,125673,200897,86836.5,80570.3,148865,73984,33.0874
159880,127253,220534,176581,127816,184068,59851.6,33.1012
149399,138739,217613,128462,102048,165805,165176,33.1366
143616,128842,205745,142057,114197,169520,39515.3,33.3869
133613,130658,203475,166639,143592,174705,36895.9,33.4891
83468.1,96703,168372,90365,95623.1,148479,6567.67,33.5171
162166,142659,221182,161078,126353,174747,356418,33.7139
163296,140906,218624,178300,135207,179359,240734,33.7633
157825,144588,225617,161128,133468,172477,54777.6,33.7835
140312,114237,220757,186744,135622,186702,525771,34.05
184607,151933,217510,194466,140852,184174,105039,34.125
113092,106630,189756,165994,138911,174869,7828.83,34.135
119333,109014,200432,114446,93336.9,162268,60740,34.2483
110914,111893,183576,120947,106123,159047,11789.1,34.3411
124389,114854,207268,144345,131517,165956,1860.89,34.4145
166992,140261,223716,153570,127640,172815,79223.7,34.4632
151592,118794,220563,168172,125306,181714,225988,34.5116
130487,121043,200833,145800,98988.7,177112,35079.7,34.6146
80326.4,92596.4,173460,84714.5,93309.6,143571,25496,34.7429
96370.3,95941.7,174935,109622,106244,153129,9294.46,34.7978
118452,106017,188535,153506,127692,172104,89565.6,34.8977
108708,98084.6,199133,100825,87753,158427,120413,34.9454
116586,106256,194585,97473.8,86191.4,162053,125921,35.0636
124653,121158,204811,109139,90793.9,160507,131993,35.0915
133870,113776,198800,171909,135264,176272,256708,35.1184
62866,67896.5,155781,78702.1,82415.6,141827,7230.88,35.1888
64774.4,70238.8,158073,65336.4,69648,142046,44416.3,35.287
139885,123798,208727,131880,121522,165582,67364.2,35.3164
96811.1,102688,182286,92440.8,86706.9,151979,3134,35.411
119318,116833,193727,85646.2,75749.3,153085,70597.8,35.5074
152603,136346,211912,145804,110921,171378,45625.6,35.615
171303,147190,214040,165628,140165,173389,26043.8,35.6727
126277,105315,200062,173316,136801,176972,28744.1,35.7143
101737,106411,186892,85164.3,76420.4,154902,15679.3,35.8826
108432,102528,189415,102747,87524.7,160159,66138.1,35.9188
151513,146222,210976,159278,141962,170062,119519,35.9314
167727,143723,227164,147302,111614,174834,17402.3,35.9502
102712,104706,174705,73086.8,69500.3,148257,129245,36.4072
158563,144810,213479,120159,99613.4,162819,64770,36.5793
132111,135441,199732,124937,115026,159456,30139.2,36.617
99772.4,103981,174666,88866.8,85661,152046,4158.73,36.8443
133712,115523,209989,147722,116348,171841,13056.6,36.975
178667,141223,231098,176510,131823,182208,134043,37.1751
99368.6,104688,183980,102863,107315,148306,9176.46,37.1781
82358.3,90878.5,169334,70854.7,72771.5,140773,3972.21,37.2852
103332,104030,189740,88498.1,83186.9,150731,90228.4,37.5694
144129,128058,208097,163292,131327,174244,168648,37.8073
92582.7,98519.4,175907,98376,86429,158493,51261.5,37.8132
155121,132281,217945,129100,107039,162785,72268.1,37.8145
97633.9,88803.2,186870,151757,116344,176291,166976,37.8981
107626,112509,179771,138003,126639,164858,41924.5,37.9619
184824,149707,229762,157261,104533,183036,68298.1,38.1097
142279,134069,211046,108050,96623.8,158014,122131,38.1524
170669,148698,218906,147921,113174,176336,30271.9,38.4894
165409,141185,224069,157496,111322,177190,104691,38.5828
104571,104167,189418,92656.8,83323.6,154550,18614.5,38.6793
88610.4,98534.3,179694,57836.4,57497.5,134725,3506.23,38.7501
107361,98073.7,191843,99786.4,81434.3,167661,54069.8,38.9972
138081,132286,208472,148992,110137,173276,2485.74,39.0875
186116,141663,231270,166836,111868,187412,53101.7,39.0984
99712.3,91633.5,193056,165980,139468,186862,288335,39.1385
138824,134821,205541,141404,123791,165693,103029,39.1848
184595,142339,230636,198856,134742,188923,81977,39.1996
167863,139278,219792,170190,119943,181715,127324,39.2578
160247,127085,227410,154380,109290,176711,99930.9,39.3032
86207.2,90944,179827,74595.1,71974.9,144019,55667.3,39.4819
104407,99745.1,183513,121168,106739,161879,7195.31,39.6357
145547,135479,211069,131645,109862,165697,10513.1,40.0297
202820,149982,222921,211346,139538,190118,340242,40.0818
77563.9,75920.3,162972,91677.5,80258.8,158606,76738.1,40.2227
127807,129284,201779,156652,128348,167274,63528.1,40.4472
145608,124764,220715,110862,79471.2,169869,20732.7,40.4835
98255.8,100905,179265,96536.2,92792.6,152431,64350.6,40.5527
82446.4,78611.2,165372,110353,102602,158151,17439,40.6938
75095.6,84149.2,160375,64336,68112.4,144634,40383.3,40.7014
77112,84326.8,175728,66179.9,68465.3,140472,37642,40.7215
108521,113945,183575,132503,130661,157461,2055.46,40.8826
162193,126314,214673,176298,120404,182764,263812,41.0912
98348.1,98661.5,186945,80362.5,74497.6,150359,8853.52,41.2285
163364,132344,213934,177222,134187,180010,126246,41.3966
105544,111212,189833,90281.8,93004.3,145873,12974.9,41.6651
196223,141667,220050,197396,129925,189989,194887,41.6747
113663,99890.6,201194,129924,99280,174841,59610.4,41.8656
169393,133754,213761,178458,131340,188990,256768,42.2344
91248.2,99442.4,175649,77103.7,75336.3,146088,34552.3,42.3165
149541,113417,206680,173196,118800,186001,110851,42.4334
173036,139627,226744,192591,135667,188909,71911.9,42.5261
193635,145347,229674,187921,127975,183279,401211,42.6109
124101,112195,191800,140343,109120,175294,17510.4,42.6116
113617,115778,178858,109500,99006.1,158165,32662.5,42.7517
126067,111155,214016,148535,118582,174551,19975.3,43.0316
143690,130033,210574,168223,138193,172029,11144,43.0577
158580,131061,225095,164421,114366,179533,38039.8,43.078
86187,89276,176933,72137,70893.1,143576,40009.6,43.2076
114831,104479,192730,117086,95349.4,165088,123971,43.4902
112064,105799,199506,102275,91652.5,158315,42556.2,43.5149
61645.5,60674.7,155568,56388.1,52426.4,143758,60666.7,43.5198
105919,112716,191381,73683.4,75350,141765,3569.71,43.7853
116623,110531,191305,139590,117015,172312,17126.7,43.8611
55481.7,61720.5,151603,61421.7,64786.1,139254,159828,43.9759
97393.9,92554.6,179778,112190,91106.7,165155,95449.3,43.9772
105036,98711.9,186854,161088,141993,170882,9867.87,43.9887
96102.2,92369.2,174424,110007,100346,159632,33048.3,44.0096
156326,118880,219709,128118,80916.6,175839,126307,44.0311
113684,100775,201177,153394,120300,172374,70546.9,44.1428
130348,108787,206425,116027,95638.8,163665,24598.8,44.2026
95453.9,91127.6,176384,107195,92178.8,160357,93575.1,44.2679
119320,114574,202627,104470,88888.2,160033,98480.4,44.34
160350,149995,223098,129219,110781,165827,125084,44.4799
97571.9,90789.9,180141,81170.8,72275,155552,129446,44.8947
127424,124037,203198,158671,137389,169038,278849,45.1566
150641,139014,213804,136077,113559,169004,21416.3,45.6874
61045.3,68817.2,156310,69305.4,77135.5,136797,55425.2,45.7798
82433,91490.7,179466,63789.1,65641.9,138674,3523.39,45.8248
95969.1,100299,174887,94175.9,86430.6,155639,12834.6,45.8363
137258,123884,203230,150472,125788,171558,46793.1,46.1672
110901,112608,195973,133085,125566,159727,23121.6,46.2479
88423.8,92453.9,168647,91325.9,89854.3,150984,1231.17,46.3446
120166,113405,189344,123476,105679,159965,24880.5,46.3775
147011,135737,211301,145753,123291,168537,233346,46.5742
110942,104982,186839,139536,122413,165083,23701.1,46.6884
164792,144705,223263,163663,127801,172829,9031.59,46.7489
136375,120954,210023,140188,106411,174806,180477,46.896
190088,147877,230953,158803,123846,176599,67112.9,46.9853
166456,158703,214605,175787,142294,175015,4142.36,46.991
81981.4,73449.3,176254,83877.6,73057.8,159061,92604.6,47.0973
108307,107547,192900,128659,111884,159984,2343.08,47.2788
75933.9,84067.8,169009,85456.9,92817.2,144108,10195.9,47.4057
142693,132207,207457,136285,112951,169785,95001.2,47.5623
171809,141374,220995,148336,113199,178632,42455.1,47.5849
93072.8,98573.1,179608,94947.8,90110.2,152661,8964.23,47.5859
80848.1,81593,168687,113653,101798,160713,50635.6,47.5884
110456,103928,196595,109646,92072.4,161723,228940,47.9311
110078,100923,193176,135417,103401,173029,22382.6,47.9548
122726,116340,193851,129278,118607,164479,27335.9,48.1168
74579.7,70897.6,163573,86880.5,74632.6,155863,62999.9,48.2369
66932.3,69362.1,163490,97765.4,95438.2,152287,22822.1,48.3583
114554,111474,198936,89188.4,80188,154868,46878.7,48.37
