"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
116271,115947,190119,115381,97320.7,166309,19352.9,0.911142
93778.9,98110.9,190367,84215.9,78612.6,148692,4339.35,0.912539
72393.2,79515.6,157913,73706.8,70536.4,148747,4213.39,0.913532
139248,111925,210916,177990,143779,177044,51551.1,0.913864
108871,104946,181941,86781.1,74805.6,155260,12588.7,0.914217
178157,143009,223413,171487,124833,182430,31282,0.91909
128601,128315,192203,140442,122009,163378,29898.3,0.925747
89322.8,93229.2,184295,76072.2,68192.4,153271,14748.3,0.927648
121104,111191,195619,150742,108554,174060,7957.04,0.929057
80764.5,82635,176119,65590.4,62761.3,145226,15595.1,0.930921
114386,97657.3,183672,152868,118571,172118,28807.1,0.931957
162352,139175,222723,161182,115436,179325,6655.68,0.93458
125213,120976,192652,125357,102338,166104,47637.3,0.935319
85253,83645.9,175329,100825,94489.9,155160,5954.81,0.937245
112803,112768,182752,147140,125957,167321,5676.69,0.939857
147811,129572,215972,101861,76753.6,165567,25436.2,0.941976
106134,108929,187085,94885.1,87239.5,155383,2463.92,0.947873
103057,107215,187056,73979.6,67375.6,148150,1030.98,0.948046
117538,117878,191675,90981.2,81551.4,158213,1259.99,0.948221
115910,110308,191895,103525,90532.4,158016,12462.5,0.948463
141041,130725,208575,112864,88953.1,164567,3807.34,0.949124
93198.9,91683.3,178028,76802,74709.4,143849,5903.08,0.949279
157255,134201,225645,147777,109714,176799,27467.7,0.951607
84147.3,89850.9,164896,77185.1,73561.1,148508,690.373,0.952007
91496,92035.4,179420,79522.8,71275.6,152258,1867.64,0.953568
110174,105078,189094,108417,96059.2,158408,9886.58,0.971818
106646,104734,192856,98965.6,89106.6,155548,3183.32,0.983875
145192,120050,212604,172107,128410,176690,9140.47,0.987684
118029,119614,201281,79536.5,71538.1,151339,1342.97,0.995541
141555,143441,210221,102892,86479.6,159429,2785.99,0.998286
147142,142537,206895,114649,98212.2,159764,25477.5,1.00492
72207.5,70929.2,162450,66359.4,61541.3,147955,2320.79,1.00768
78907.9,82870,168568,62993.4,61136.7,143902,4003.91,1.01025
90918.8,96799.7,167658,90397.4,86582.1,153729,6025.42,1.01454
75861,83883.1,160797,87590.7,81559,153517,60136.9,1.02377
108720,101307,182958,92917.8,72312.2,165259,6518.98,1.02641
107598,99972.7,190570,157107,124002,173001,10290.5,1.0481
103519,98775.5,183016,107426,90377.1,165145,7004.58,1.04873
101964,96930.6,186249,112852,93544.5,165184,12412.7,1.05131
92666.6,91573.2,189254,75820.7,66565.8,149756,5837.97,1.09234
130841,110611,196924,100130,78047.4,165987,28716.7,1.10243
130282,125316,206523,106920,87432.2,155498,521.425,1.11702
87766.3,89021.6,169934,95692.2,87406.9,158920,4510.71,1.11974
102829,109577,189205,96865.6,94843.1,149136,2860.8,1.1201
77725.5,86883.8,169127,73704.9,70678.9,144384,2295.34,1.12684
106258,110280,195826,64652.6,60193.7,144072,1136.9,1.13446
121620,113246,201885,104102,82357.6,166430,5869.3,1.13922
126485,108823,193185,133474,100641,175261,7823.79,1.14621
144963,132821,217476,137779,112693,171375,33553.1,1.14793
75048,78709.2,168578,83895,76093.4,149131,1643.04,1.14883
105218,98373,183007,108303,91509.7,159678,9273.55,1.14888
117598,119345,185962,103111,92357,159245,5936.61,1.15453
83289.6,83602.2,172634,84412,77820.4,155059,5197.54,1.15679
120543,118136,191705,118780,100507,162530,43400.4,1.15983
112909,109910,196882,124967,103158,159275,3329.28,1.16353
108935,104321,200430,104572,93448.1,158874,4373.29,1.16565
128514,122654,200791,96490.8,77090.3,164805,20495,1.1707
75579.8,83837.5,168705,64408.3,63961.7,140829,6747.91,1.1903
155131,135835,223399,158743,119196,183697,17293.7,1.19295
144471,128274,210824,159328,127402,180381,1081.13,1.19494
113013,119658,195550,83954.5,75861,149483,2155.51,1.20091
80203.9,92166.2,166599,71634.2,72472,141831,1076.38,1.20696
132601,112269,202779,190376,129115,182448,2280.31,1.21029
103570,107044,191687,86474,72986.5,156230,5362.83,1.21378
92593.7,94225.4,177779,116367,98165,163233,7095.55,1.21505
116060,122049,190177,97075.2,87698.8,152452,14534.9,1.22722
151351,143689,212728,164287,129209,174530,5123.27,1.22864
62007.8,64913,152704,64424.3,61219,144904,1888.84,1.23364
88116.6,95668.3,169208,66536,64679.1,143969,1235.54,1.2363
131987,131997,201620,126367,103412,164350,5695.98,1.24518
104809,113640,187111,84124.6,80255.6,146444,4215.8,1.2492
81107.9,91304.8,170306,58235.9,57802.8,141380,2266.56,1.24988
124113,120023,196853,110992,95582.4,162247,9826.14,1.25116
123498,128968,196429,109901,94819.4,159991,9068.87,1.25775
120015,115195,203282,104173,86107.8,159648,4561.49,1.26
101307,107821,186426,106831,90381.5,161713,4258.66,1.2624
161665,147424,222047,136850,95708.1,175899,27310.6,1.27561
99797,90080.1,188505,103373,82574,168257,10938.8,1.27602
125260,124075,203183,97222,81438,159454,3363.94,1.27725
91553.6,99774.2,185855,79445.3,78702.8,145533,3967.96,1.27786
125321,121650,196792,96779.7,75459.7,158504,7535.08,1.28292
101880,97357.3,176943,98850.4,84198.4,162295,11012.7,1.2901
78174.9,82283.2,166245,70885.3,68332.9,147770,3788.22,1.29107
122239,113962,197496,112458,94345.4,164941,5672.36,1.29206
71063.3,70141.3,162666,63951.6,59431.5,145455,19391.5,1.29759
127717,110391,199555,109840,81920.1,167851,22755.7,1.30596
82821.6,91435.7,183789,74826.1,76963.3,142002,2960.02,1.32405
126708,123496,204302,89974.7,75039.7,158757,504.347,1.34363
69172.5,78731.4,162765,71906.3,76288.5,138869,31210.7,1.34939
94326.9,101622,172240,76383.8,76478,147543,3394.68,1.36118
137511,122977,214001,94472,74162.4,157766,2268.23,1.36712
