"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
72208.9,72239.1,156228,75387.6,70907.4,144042,19431.6,0.578051
100709,93821.2,178624,67547.7,56348.8,148313,1355.38,0.578668
114110,105314,182251,93468.8,76647.9,155214,2614.93,0.578944
101887,100670,172438,87291.7,74525.6,148757,12821.4,0.580268
81472.2,81141.1,162507,76086.4,71124.2,141037,2916.94,0.584366
98734.9,95228.9,179489,75293.4,68055.4,143978,3814.43,0.585142
131286,105695,197477,117496,80330.2,167917,4616.9,0.585866
93023.4,90329.5,173112,80420.3,76380.7,140512,2812.16,0.587326
90960.7,88048.5,171406,64043.1,57365.7,143826,8860.81,0.590667
91656.2,83206.2,175072,103801,90678.5,154155,4229.63,0.595364
102438,95267.5,180100,83834.4,70477.6,152082,2968.32,0.598596
113510,108810,189641,98052.5,88934.3,145990,3158.86,0.598939
80515.7,84985.5,167961,60645.5,58298.9,131499,1140.53,0.601914
91127.4,90824.8,168766,75632.8,68817.8,144538,98.9021,0.603073
111682,106552,175646,98845.2,85368.1,150240,5783.87,0.604546
107341,108239,182775,81876.4,71361.7,151897,8452.48,0.60608
126291,111830,193824,101409,78972.9,158041,3987.71,0.60997
155247,130499,206889,149617,116347,168614,8451.35,0.615064
142609,120700,200058,148398,114740,169963,5424.97,0.618031
83995.3,85088.9,163129,62714.9,57774.8,141457,1178.35,0.619042
93018.9,84396,172878,109127,88452,159771,4957.32,0.621713
76803.1,75218,160044,74244.4,68616.6,142576,1103.53,0.62424
92442.2,92177.9,162078,81599.6,75701.5,144667,2662.47,0.627653
96696.6,92405.5,176526,89653.5,80992.7,149479,836.446,0.628946
96568.3,91893,169910,81930.9,72308.6,145816,6285.73,0.629377
68175,61967.2,155406,65316,59779.6,144835,5281.74,0.630733
126301,117065,189080,110496,89719.3,157808,3162.88,0.634095
88124.1,86280.8,176359,64370.3,61728.5,139733,4531.73,0.637562
75590.6,80516.1,154425,51542,50904,134068,996.172,0.637684
102934,101134,179978,77115.2,65915.6,150587,914.615,0.637765
89991,92977.4,161993,68599.5,64113.8,138731,119.981,0.638293
69671.2,73118.1,148302,54764.2,52075.8,135683,1133.03,0.638604
111519,104167,179875,87394.5,72703.5,152488,5351.86,0.645508
140980,122603,195818,111558,86044.5,161690,3190.8,0.648424
121533,114936,199397,104556,88013.8,152220,4538.1,0.649627
89646.5,86077.6,172807,89118,78585.6,146166,4374.9,0.649658
95752.6,94731.8,169022,63200.7,56866.6,134199,4049.98,0.649907
77158.2,80550.8,162464,62128.7,60364.3,135705,6465.6,0.651323
93051.8,94340.4,174372,68518.4,66066.5,131427,6687.37,0.651964
79166.2,81632.8,162662,52117.3,48381.4,128978,2093.06,0.652906
81168.1,69957.2,162828,69517.4,57488.3,141145,1963.7,0.654315
95201.6,89799.7,169941,87272.1,75153.7,148888,3520.69,0.654962
82865.4,84931.8,166775,68366.9,64752.5,136260,3970.54,0.662699
96410.2,94666.8,172217,75543,70237.1,142561,4147.48,0.665958
80851.6,85441.4,157970,70828.8,69380.8,139690,4690.14,0.666494
60688.2,65847.9,143686,46120,47101.2,126535,3397.25,0.671365
95366.2,90806.5,176839,74550.6,61668.2,148537,140.679,0.672411
96055.7,90858.6,170135,78012.7,69101.8,145853,1303.51,0.677217
86986.9,84984.5,172761,58657.3,53398.9,136069,7451.34,0.681333
89242.4,88549.9,168030,55524.5,49754.5,137775,614.593,0.688345
110476,105544,183846,104256,95240.6,153292,8920.86,0.69002
120897,104986,197041,84558.8,68346.2,159728,3248.1,0.691766
90038.4,93307,169560,64161.2,59849.5,137716,16197.3,0.691813
109241,110913,176937,86856.8,76863.6,149846,2126.36,0.694858
78964.5,81461.8,165986,51184.3,48516.2,128390,3176.98,0.69631
121871,116048,194179,73336.5,59800.9,154538,6376.91,0.700979
122710,104380,193988,102932,79765.1,160239,3908.46,0.710975
107340,103464,180521,95604.3,89440.2,147611,125.632,0.715393
91680,90285.7,172944,58506.9,52586.8,140327,4543.88,0.716781
85196.4,84921.3,163578,73438.1,65754.1,141657,1031.19,0.71854
106293,95068.1,181556,75430.6,60425.5,152686,91.2886,0.721237
100227,100979,180290,77645.8,69860.5,145675,4196.83,0.722084
106054,103346,179832,76928.4,70024.8,142262,2561.44,0.7278
97076.9,99632,165204,67409.7,61944.4,141831,600.224,0.727821
109622,94459.7,189037,111950,89855,162651,7826.95,0.737375
90283.9,86821,165160,61693.4,53089.5,140862,4162.26,0.741658
116222,106243,187151,129267,107183,158303,5651.25,0.74393
86240.6,84505,163567,70313.9,64572.7,143441,17549.2,0.744006
122639,110842,192891,100464,84697.9,155065,14360.4,0.7458
92644.7,87457.6,170353,91195.8,82205.8,148512,5097.7,0.74853
101981,96628.3,172119,80828.6,66743.6,149371,5507.39,0.753578
100536,91997.5,173141,97323.5,82806.6,155017,6112.22,0.766384
91940,91390.9,170309,67000.3,57595,144177,720.007,0.769211
138972,131076,195557,120631,102610,160566,13770.7,0.769284
72352.2,72612,165676,51520.4,46840.1,132098,1004.76,0.772438
107628,97274,184449,69612.5,57636.1,148044,10583.5,0.775529
104704,96865.7,185649,71322.6,63562.8,143616,2261.59,0.776345
101378,102272,179185,72549.6,66518,143722,2413.28,0.781571
139435,122455,203055,87065.9,65339.2,155015,9156.13,0.784921
128532,113814,194194,141263,107820,168837,10714.2,0.786012
61323,59395.9,146098,90011.1,80756.1,151555,8614.6,0.788503
80572.9,84758.2,162966,71861.1,71226.3,138115,3711.59,0.789822
93208.9,81865.9,173015,109777,96224.3,151473,1106.56,0.790751
91475.5,86910.6,170705,115791,96009.5,154506,6377.09,0.794133
102089,98316,182687,78895.5,69151.8,151372,197.408,0.794317
109291,107300,179103,95934.1,83033.4,149751,5090.79,0.794696
110080,101322,183145,73983.2,66883.5,146603,1339.89,0.795603
91054.2,90479.8,164757,79909,71817.5,145250,8725.17,0.797211
83291.5,78431.4,164869,77720.4,69932.4,145436,3376.19,0.800498
89109.1,88200,168813,79556,70525,147709,14974,0.804952
131847,122297,198289,86789.2,69255,152278,1190.64,0.806178
71703.1,67468.3,155737,75527.5,64325.7,145857,1396.77,0.80677
64985.3,65981.6,154944,59977,55933.6,139833,103.83,0.809743
81272.8,80587.5,165006,70013.8,65795.6,134509,4497.16,0.812096
109598,99684.4,182770,76401.3,60231.1,149337,4074.47,0.816734
82470.2,83270.2,162433,90117,84230.3,144035,8116.4,0.817659
104794,102093,180265,84388.8,75945.3,145010,1829.14,0.820971
108669,108967,182500,84560,73864.6,149131,7071.16,0.82149
123884,116662,183418,96609.2,79474.7,156061,8224.75,0.824557
98056.3,96147.8,176547,63983.7,60883.1,134175,1800.63,0.827507
72386,70046.4,160163,73985.9,68582.9,145372,1307.72,0.828251
103967,92953.4,179902,81560,57695.7,157993,5922.18,0.829504
103859,94924,179919,91568.2,80341.8,149715,1647.82,0.831623
110550,107899,190067,75388.6,65229.5,145717,3811.9,0.8379
98563.8,95465.4,169720,77036.3,68873.8,139311,8987.46,0.851847
77633.4,72664.6,162392,68027.1,63208.4,136101,5014.75,0.854703
95499.4,95171,176122,60470.9,56263.4,138175,4436.44,0.854888
94898.4,96999.4,164839,62798.1,59504.1,137735,3201.96,0.863276
105714,96757.2,175919,82926.7,69758.6,151144,5733.94,0.865109
