"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
117650,112878,197191,99261.6,80773.1,158870,52.7715,2.48554
152155,129096,219449,126380,93529,171362,70.6484,2.53456
88712.5,99370.9,173213,101872,92920.3,152979,-0.083308,2.57213
102953,104643,179985,99308.9,87373.5,155161,20.4068,2.58023
123026,102857,203202,126784,97048.7,169015,86.2375,2.5987
113121,115024,189291,122565,116467,159295,76.1701,2.59874
142656,119478,206764,111190,84985,168776,50.0332,2.62098
156402,123706,216046,152239,106743,177606,443.481,2.64141
91989.9,89904,183114,111949,102717,153364,40.4661,2.67612
93515.9,100332,175802,82709.3,76309.7,147786,28.4293,2.68434
146591,132191,224093,111019,82476.4,168237,44.1499,2.7061
125896,118752,199943,117498,95431,163255,43.8141,2.74067
101335,99268.2,191047,93842.4,89997.3,155007,70.1263,2.75837
128099,126960,206496,90368.6,80757.5,152793,19.5328,2.78047
74885.2,79572.6,168868,81119.7,81199.9,148234,21.6973,2.78114
63870.2,69162.3,161659,50074.5,49698.3,139291,3.19664,2.79449
161519,146351,216355,163898,120890,176167,112.933,2.79965
60078.7,67553.7,152922,67978.9,71366.8,141487,2.92947,2.80033
112373,117770,199783,80370.3,72898.3,150801,3.64224,2.82364
148863,140635,203589,109672,90665.5,166196,83.6363,2.82446
131531,117663,208152,106578,90606.4,162085,86.8443,2.83549
126610,124682,199920,127536,102316,167763,34.7704,2.83939
107727,98632,195599,78392.8,67031.4,152418,6.18974,2.84245
149600,142734,210100,119964,99358.7,165232,99.9099,2.84704
127449,122343,201916,141558,119416,167964,86.6709,2.85121
134884,139921,197284,123610,108377,160067,44.3419,2.85549
120508,122386,189735,106478,94047.4,159181,6.86227,2.87364
113528,111876,196440,109025,96072.3,160041,40.6092,2.90645
104513,95189.8,184206,85036.9,68262,156002,14.0456,2.90723
80363.5,88357.3,163681,93048.9,85786.2,154922,16.7364,2.93267
106117,93180.5,193339,102215,85064.3,163162,107.979,2.94851
144054,129656,213337,135527,110942,170440,47.5669,2.96672
117563,112331,192701,147970,126271,168902,63.8992,2.99113
140568,120523,217281,114780,91343.7,162334,26.9366,2.9973
106626,113002,186666,106981,93475,160273,20.4989,3.00591
168569,148090,217977,157733,121183,175528,42.6641,3.03665
144478,140921,210328,90012.5,75250.8,155288,34.2511,3.04374
108315,118702,185842,92191.6,85894.8,152874,19.1652,3.04768
129832,125898,207144,94477.1,81503.2,158207,15.4121,3.0488
84824.5,92739.6,181653,68504.4,69195.3,141224,46.8916,3.07473
90537.3,89076.2,183317,97416,83573.3,156409,6.23454,3.09136
131539,115132,207118,131375,103165,167557,45.8319,3.09549
125784,124739,200207,101920,87120.6,155991,32.4137,3.11844
