"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
125705,112687,203990,120167,94153.2,165035,74.8664,13.4469
165366,147600,216327,111546,84926.5,165178,70.7354,13.4709
131036,113304,207486,132446,106146,170106,83.0724,13.6288
120415,107881,209162,99952.8,71341.5,167806,46.747,13.6558
115128,110284,186718,94083.5,80419.6,159360,7.94016,13.8842
117919,121978,197070,123791,113950,158735,54.3443,13.9023
121483,120202,199107,93763.5,75230.8,155884,71.475,13.9274
150608,130126,209729,153058,107748,179066,325.448,13.9915
122464,115172,204070,99278.6,81784.6,159864,31.5206,13.996
92532.6,94627.2,181455,95678.4,89391.1,151546,19.5328,14.1058
169869,133458,223823,137090,91289.8,180158,50.5665,14.1365
110399,112945,195703,85676.2,76446.6,152682,23.2685,14.1476
125902,119481,200246,124168,99176.6,165800,35.8105,14.1517
124644,117349,203404,117118,98805.2,169678,41.373,14.2462
112652,93238.1,196650,161588,125791,175698,166.642,14.3505
133895,114406,211818,89748.3,71395.8,160049,88.2307,14.4627
129296,121766,197383,103202,88533.6,160138,49.9363,14.4719
75195.7,77238.4,169531,87710.2,82049.7,153582,10.3737,14.6022
134950,123493,205865,143577,113240,173011,15.2297,14.6269
124643,123259,205818,95285.2,78721.3,159354,10.2834,14.717
126936,111377,203696,155349,125388,172863,912.847,14.8358
90214.5,91436.3,175748,69687.3,64008.1,149038,1.32943,14.9666
120080,104691,196196,96755.1,82306.1,160275,86.1075,14.9797
112656,92866,208365,125166,105915,164579,285.919,15.0726
100522,98197.5,185976,107853,89446.3,164111,37.2317,15.0917
142064,127863,214022,91453.9,69820.3,165287,90.9156,15.1733
147984,140093,204259,147401,126471,168558,372.584,15.1995
95952.6,102571,183018,65157.7,61155.8,142602,12.6827,15.2031
160726,147148,220910,157225,122955,176099,95.5017,15.2419
164962,148169,218345,132896,112788,169549,644.721,15.2679
108667,110049,194243,113244,103917,159974,38.5138,15.2848
159964,140909,220794,155723,119715,176059,1087.42,15.291
76077.4,86810.6,174224,86045.3,95787.2,144110,33.7794,15.3661
102970,102564,189284,64796.2,57899.7,144171,15.7315,15.4182
121307,113314,200646,115954,89108.1,165477,57.9682,15.4441
140881,119703,200898,152620,119895,176407,192.378,15.4627
120887,120575,199869,125385,101655,164614,79.9483,15.5229
94463.9,98933.8,183375,106192,108542,150046,240.295,15.5477
125298,122294,203981,115235,85643.6,168609,49.4928,15.5635
104006,105895,189311,71120.1,66983.5,148339,16.8736,15.5862
92983.6,95851,182129,61813.1,53178.5,146552,24.5658,15.6209
112238,117760,189169,83140.5,73256.9,155627,23.2222,15.7138
123178,119666,193059,144993,124297,165501,169.232,15.8958
97474.1,96048.6,182888,131978,106893,167976,64.2043,15.9682
162695,138852,216747,147880,100798,177620,95.2855,16.062
167347,144005,219886,141488,103881,174936,671.462,16.0647
97472.4,101449,183781,73814.5,70639.3,144239,18.1557,16.116
159911,135012,223459,126673,91737.5,176746,187.692,16.1422
136237,120040,204720,170507,128772,175843,735.818,16.195
122624,117637,200269,95185.5,72588.5,164862,15.5034,16.2098
138786,130115,209696,113562,95687.2,162276,22.4823,16.2409
171452,137988,227200,175113,125871,178794,115.688,16.3164
73485.2,74102.4,159444,89705.9,87454.2,151748,69.5606,16.3662
112930,102607,193711,104094,77563.3,172974,39.7034,16.5074
122570,115136,195906,94628.9,77297.5,158582,27.123,16.762
161056,124661,220436,170425,124661,180014,1070.59,16.7978
141018,128274,207382,163532,128068,179068,78.1682,16.8696
118004,118266,189154,125715,104065,165067,45.4952,16.9715
164385,131512,224167,153346,120234,175304,115.473,16.9929
156524,147271,211167,158893,133150,169424,109.358,17.0259
104281,100403,195668,111755,72444,171810,61.3708,17.0363
123035,118368,204315,111060,91836.4,166493,10.69,17.1372
142692,134967,212357,136428,109461,172274,56.1784,17.1519
155151,125855,226795,152844,104823,179879,96.3232,17.1657
134327,136896,196582,121185,96298.1,164598,68.9077,17.1736
164233,155177,217709,131343,104768,169040,82.9857,17.1782
127962,113286,203686,109937,83278.1,168684,25.6337,17.2609
119185,129165,194156,135864,124832,165797,51.6352,17.3506
125666,118035,204525,103830,88666.3,163427,26.0987,17.3592
143620,140874,210181,130995,110754,166725,49.5973,17.4427
157583,146929,216915,145482,113071,175307,69.6476,17.4981
123557,108394,207750,163914,131165,176743,377.48,17.6485
103112,97981.4,190047,103506,71608.8,169243,49.452,17.696
126807,120832,205968,124346,101436,165959,59.9752,17.7173
132928,123824,203036,172760,123911,180505,131.446,17.8535
171656,150461,225045,125660,95539.9,172716,42.9993,17.9039
144168,132462,200734,133770,102466,172006,67.5147,17.9885
163599,148382,213254,142639,116085,169159,972.954,18.2653
81529.3,71428.2,176186,79871.6,69167.9,148106,0.752907,18.2778
170150,132796,229715,145445,108839,178349,17.2854,18.3048
90174.9,97297.8,183952,66500.6,67485.1,141437,29.7387,18.3346
130622,126758,207473,113313,92853.7,165135,148.508,18.335
91004.6,90153.9,180375,128501,118047,159868,50.4111,18.4674
86398.5,90429.9,168779,79299.3,73822.2,148891,63.1147,18.4913
173489,154218,219277,126941,98384,168100,106.944,18.5021
114496,104572,195675,114355,108565,156233,573.326,18.5145
162116,151583,216393,162227,126986,172773,277.557,18.5165
114998,114968,190264,92914.3,80905.4,160402,13.1366,18.5209
136645,126636,213074,159928,125830,172572,42.6641,18.5469
148692,143307,208061,151382,129422,172678,242.169,18.5707
121025,113071,206455,122090,94831.3,170312,45.6876,18.6098
138987,134966,208349,140411,120579,166163,58.9282,18.7835
148285,135632,220438,154943,121540,176664,76.1266,18.8321
146552,126820,217953,143607,105622,174702,256.879,18.8472
175816,149412,223670,141979,110553,176383,165.453,18.8807
84155.9,81208.1,175259,120668,115546,162258,1.59575,18.8917
98991.3,90948.5,196776,106189,92435.1,162345,7.08664,18.9843
141063,131512,208126,161304,135407,170795,77.2127,19.069
117783,110704,203972,130234,102453,168642,50.7609,19.073
133178,106974,206434,144139,108207,176969,64.9014,19.0853
140140,118315,217759,133255,98415.9,172564,112.589,19.165
154528,138681,202665,130982,103999,171925,231.578,19.1954
124364,116555,198944,142411,114816,175812,51.9259,19.2303
131593,130707,194574,119200,95771.2,166412,65.3371,19.2325
140132,125758,220104,146443,114141,176331,88.7072,19.2429
175597,154118,223375,146009,102042,176446,58.3173,19.3421
140574,141446,206450,106678,90579,159560,55.6108,19.4017
