"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
102403,103929,182836,99597.6,104013,150723,80888.1,4.09157
82427.1,91124.4,163049,65258.9,70586.1,141562,40981.6,4.12539
72244,78438.4,156490,50892,56847.6,133541,51402.8,4.12911
94931.3,95926.3,182314,61572.4,64079,145489,64905.4,4.1482
98824.9,91290.6,179525,115900,104066,160185,66399.3,4.17461
85682.2,91899.3,175359,72568.4,82976.4,142892,41447.9,4.19607
93558.7,98021.8,172510,60636.7,65300.7,137836,61174.2,4.19715
90518.1,95637.6,175247,66386.9,69416.5,141515,87375.6,4.20147
67578,76081.1,159496,46566.7,55356.6,131024,40740.7,4.20242
80910.1,84142,162717,67799.4,72451.5,142794,48197.8,4.21834
113393,113365,182828,119898,112832,157829,155747,4.21914
93905.6,98962.3,176069,54142.4,60224.9,134445,39481.3,4.22241
120140,121697,191753,78582.9,79852.3,146675,71663.6,4.25479
76237.4,78153.8,163048,61748.7,63278.6,141628,41196.5,4.26209
83856.4,91939.3,169701,61997.1,68652.4,141032,36489.1,4.27454
109827,109112,189199,82859.6,84713.8,149007,87799.4,4.27591
128717,122058,195335,79611.7,79168.2,149308,118195,4.29406
96304.5,102011,184418,63871.6,69120.9,140754,69701.1,4.32941
87985.9,91168.7,176784,67652.7,73013.9,141227,55354.6,4.3514
77877.8,83083,161368,67190.2,73644.4,140921,44714,4.35226
101477,97574.5,182981,109701,108251,156404,48434.5,4.42041
99516.2,96736.6,174981,98138,98290.5,152261,77819.9,4.4571
120630,122843,186115,101424,104246,151132,100917,4.45723
65449.2,72235.8,151365,64064.1,74083.4,137128,50413.6,4.46938
103527,99138.9,183858,77326.4,78175.7,148397,89188.7,4.47545
66112.2,74482,151996,36979.2,44944.5,120926,28494.6,4.48414
99560.5,100702,179108,80375.1,86342.5,146405,70562.4,4.48665
92912.9,100424,175231,93333,97837.4,149312,63262.1,4.49307
63889.6,68681.1,150823,57400.2,64023.9,134471,29857.2,4.49596
102731,107678,185976,66323.6,68768.7,143668,48053.9,4.51045
76942.3,80714.6,172985,45970.5,51569.7,129037,53720,4.52004
111585,112803,187235,80127.9,81507.5,148218,74758.7,4.53624
88757.1,86953.7,169394,78292.4,89147.8,140543,33019,4.55983
86867.8,89439.2,168123,83514.6,93608.8,144222,62918.9,4.56516
73450.3,74454.9,155746,44193.1,49731.2,130868,14663.6,4.58458
98635.9,104353,184863,73726.4,79639.2,144438,71460.1,4.60918
89869.5,94635.2,171839,58502.6,61616.5,137291,65434.6,4.65185
79238,85413.7,165415,92229.3,99819.9,147935,70930.5,4.65835
77555,83047.5,162606,66336.8,74293.9,138290,42808.1,4.67532
102963,101457,178956,120844,118586,157144,95351.6,4.68136
87266.4,89905.2,172066,90845.3,97376.8,150907,46622.6,4.69748
105302,104543,181679,120318,120433,155137,72785.2,4.69869
99683.1,105061,179032,58818.7,62445.9,135650,39232.4,4.69942
98159.5,95993.1,181905,91660.4,96423.7,148895,65932.4,4.71251
64862.1,71535.5,151714,77032.8,89812.6,141495,33755.4,4.72979
89932.3,89264.6,179520,119333,122584,154746,73637.9,4.73422
94055.5,96776.8,168804,77995.7,79947.7,146294,49523.9,4.73503
116040,118418,193471,110140,112993,152774,61282.8,4.73601
101917,104997,176399,88673.2,92820.9,148252,67675.6,4.74862
126182,124152,196659,95840.2,94471.5,155878,55963.6,4.76211
120973,122932,195487,80846.4,82580.8,145557,112228,4.76875
89437.5,95740.9,176310,70457.2,78385,141219,54838.6,4.77741
91741.5,97375.4,180226,61688.1,64067.5,139343,63539.5,4.78085
76303.2,83981.2,155499,65525.5,73880.6,141222,32786.1,4.78822
94796.4,97970,171979,71182.2,75018.9,145172,68174.5,4.81034
84463,85745.9,168717,92821.5,101630,148600,29631.1,4.81613
120811,115172,195858,95950.5,93407,152547,143297,4.82201
92862.7,92098.9,175754,99573.4,102690,154757,53659.9,4.82316
86284.3,81314.6,170180,94082.8,88173,158633,33923.9,4.82863
82986.1,89899.7,168765,60348.4,66023,138514,58813.9,4.83381
78577.9,80693.7,158566,91967.6,91306.1,148737,56903.9,4.85026
106927,108067,183827,84570,84267.2,148861,160835,4.88725
85180.4,92177.2,169279,58939.9,63043.9,137823,59119.7,4.89165
88118.2,94006.9,178931,53681.1,57517.4,132950,63341.3,4.89385
94323.5,100025,178321,76970,83991.5,145938,47021.8,4.90492
94328.3,98695.6,177382,83552.1,86764.7,146193,59897.8,4.90559
66635.6,71785.1,158845,42249.5,51352.7,128048,23541.2,4.92412
93317.7,96906.7,172543,82680.2,83662.7,149675,72312.7,4.94337
102065,107513,182209,76695.8,77944,144952,72950.2,4.94852
89961.5,95677.9,170363,58968.1,65909.4,134412,54736.9,5.02074
65526.1,65555,153534,75851.5,76656.5,147626,42561.2,5.10929
81919.3,89135.2,176041,64212.7,67396.4,140230,59396.6,5.1125
124145,114454,195884,94336.9,84404.1,159696,68831.5,5.1401
130336,123485,203006,110073,100761,159187,57800.2,5.14659
83744.6,89519.6,169378,55606.3,62080.8,135282,47837.7,5.15153
79545,85519,159390,52985.4,59071.5,134614,41167,5.16714
92184,96953.8,181691,65254.3,72177.5,139325,54553.1,5.17962
85062.2,84052.9,176955,66036.2,67095,149207,57812,5.19046
90909,97729.7,181979,83654.3,92918.7,144904,43134.9,5.19497
83332.1,90107.5,163315,51403.7,55463.4,130972,50005.1,5.21606
90547.4,98321.5,173556,67779.3,71306.9,141112,48256,5.23756
133901,130399,203620,83301.2,79596.1,149225,78212.9,5.27973
85379.3,91620.8,168089,59810.1,62783.3,141157,46330.5,5.32117
98775.9,100385,178995,82264.9,90508.2,143872,63372,5.34331
87516.9,88646.2,175294,93391.5,98734.5,149190,91921.7,5.35104
106828,103976,190198,112705,113275,155763,58669.3,5.38218
91749.4,92895.4,172593,87285.3,96185.4,148809,41368.9,5.40586
130944,124052,199198,122258,116613,158845,181244,5.42526
135157,124514,202930,93188.5,83360.3,156268,78082.7,5.48226
94392,97317.6,183216,100511,112071,148406,58389.3,5.49466
109136,113871,186248,63550.1,65508,142021,77864.6,5.50918
65630.2,73217.7,158023,35586.6,42944.9,121371,32133.5,5.57046
100352,104584,178234,79468.5,85695.7,145081,55910.6,5.63612
90124.2,95281.1,169670,106887,114746,152089,61213.4,5.63724
98327.6,101648,175838,68364.4,68495.9,144325,63817.5,5.65118
92980.4,100533,167597,61228.5,64326.7,140631,47920.5,5.69261
92938.2,97766.4,182316,75845.2,82731,141195,77671.5,5.69664
78135.6,84040.6,168267,62958.1,73894.2,133871,48115.7,5.701
74896,83115.1,169778,50372.9,57180,134189,50972.5,5.73854
122747,122628,195678,102721,102907,158306,92684.8,5.75649
112606,114577,188290,105073,109100,153156,154334,5.77152
86119.7,94623.7,172355,58362.8,62923.2,139591,45893.1,5.77159
83875,90201.8,168013,55288.9,60945.5,134419,78291.9,5.79447
93326.1,93024.5,178577,79453.2,81160.9,148401,53406.2,5.81603
115880,116060,189084,80072.3,85683.4,142555,113416,5.841
