UMAP1	UMAP2	Cas_variant	filename_prefix	FACS_group
4.31428186564357	3.4727761175853	CAS9	HI.5102.002.NGS-Lib-Rev--8.Cas_VCAM_Bottom_86	Bottom
3.69790588389782	-6.35238659552207	VP64	HI.5102.003.NGS-Lib-Rev--1.VP64_ROS_Top_113	Top
3.49755808657849	-5.88426567941212	VP64	HI.5102.003.NGS-Lib-Rev--2.VP64_ROS_Bottom_114	Bottom
3.4581169279398	-7.1017700961286	VP64	HI.5102.003.NGS-Lib-Rev--3.VP64_CA_Top_117	Top
4.07647555667249	-7.52547166013295	VP64	HI.5102.003.NGS-Lib-Rev--4.VP64_CA_Bottom_118	Bottom
0.630093190800405	6.07901006097659	CAS9	HI.5102.003.NGS-Lib-Rev--5.Cas_ROS_Top_91	Top
4.37499645094588	3.37912285269933	CAS9	HI.5102.003.NGS-Lib-Rev--6.Cas_ROS_Bottom_92	Bottom
3.67377824231075	-6.68523118033319	VP64	HI.5102.004.NGS-Lib-Rev--1.VP64_CA_Top_165	Top
3.16444070133361	-6.0873518177508	VP64	HI.5102.004.NGS-Lib-Rev--2.VP64_CA_Bottom_122	Bottom
4.38449127427487	-7.29146119048302	VP64	HI.5102.004.NGS-Lib-Rev--3.VP64_ROS_Top_125	Top
4.45459703422152	-7.30724111589522	VP64	HI.5102.004.NGS-Lib-Rev--4.VP64_ROS_Bottom_126	Bottom
3.22114620494722	4.0812807525174	CAS9	HI.5102.004.NGS-Lib-Rev--7.Cas_VCAM_Top_93	Top
4.18959118707143	3.4018220760529	CAS9	HI.5102.004.NGS-Lib-Rev--8.Cas_VCAM_Bottom_94	Bottom
3.57907231703297	-6.89822772779643	VP64	HI.5102.005.NGS-Lib-Rev--1.VP64_ROS_Top_129	Top
3.16997162299956	-6.02551070797934	VP64	HI.5102.005.NGS-Lib-Rev--2.VP64_ROS_Bottom_130	Bottom
4.29809390638228	3.64294005509694	CAS9	HI.5102.005.NGS-Lib-Rev--5.Cas_ICAM_Top_97	Top
1.8888654752135	4.95018492705073	CAS9	HI.5102.005.NGS-Lib-Rev--6.Cas_ICAM_Bottom_98	Bottom
2.44261401566189	4.54851192354847	CAS9	HI.5102.005.NGS-Lib-Rev--7.Cas_ICAM_Top_103	Top
2.31411012619445	5.04640014951078	CAS9	HI.5102.005.NGS-Lib-Rev--8.Cas_ICAM_Bottom_104	Bottom
2.45904666180146	4.84056659307624	CAS9	HI.5102.006.NGS-Lib-Rev--1.Cas_CA_Top_107	Top
3.78627526304909	4.06674198915313	CAS9	HI.5102.006.NGS-Lib-Rev--2.Cas_CA_Bottom_108	Bottom
1.12020893999845	6.18299670655113	CAS9	HI.5102.006.NGS-Lib-Rev--3.Cas_ROS_Top_111	Top
4.35318683839474	3.97246354940618	CAS9	HI.5102.006.NGS-Lib-Rev--4.Cas_ROS_Bottom_112	Bottom
4.20451518032478	3.90070068267854	CAS9	HI.5102.006.NGS-Lib-Rev--6.Cas_NO_Bottom_116	Bottom
-6.30662541934293	2.32317613673795	KRAB	HI.5102.008.NGS-Lib-Rev--1.Krab_VCAM_Top_135	Top
-6.81165202954785	1.24990569328319	KRAB	HI.5102.008.NGS-Lib-Rev--2.Krab_VCAM_Bottom_136	Bottom
0.919590130247798	6.25820119188292	CAS9	HI.5102.008.NGS-Lib-Rev--5.Cas_NO_Top_131	Top
4.15001677904981	4.02141899564355	CAS9	HI.5102.008.NGS-Lib-Rev--6.Cas_NO_Bottom_132	Bottom
-6.00673085065377	2.29228305336388	KRAB	HI.5102.008.NGS-Lib-Rev--7.Krab_ICAM_Top_133	Top
-5.52912549261384	2.56178727821724	KRAB	HI.5143.002.NGS-Lib-Rev--3.Krab_CA_Top_137	Top
-6.02106173092108	1.37210947533124	KRAB	HI.5143.002.NGS-Lib-Rev--4.Krab_CA_Bottom_138	Bottom
-6.38809060066767	1.7937161428877	KRAB	HI.5143.002.NGS-Lib-Rev--5.Krab_ICAM_Top_139	Top
-5.63409940348768	2.06799046112474	KRAB	HI.5143.002.NGS-Lib-Rev--6.Krab_ICAM_Bottom_140	Bottom
1.11581787584799	5.90961108340834	CAS9	HI.5143.002.NGS-Lib-Rev--7.Cas_ROS_Top_141	Top
3.15976837134024	3.73233198162881	CAS9	HI.5143.002.NGS-Lib-Rev--8.Cas_ROS_Bottom_142	Bottom
